Alloys (compostion);Tg(K);Tx(K);Tl(K);Dmax (mm)
Ag30.8 Ca30.8 Mg23.1 Cu15.4;413;432;803;2.5
Ag38.4 Mg30.8 Ca30.8;394;426;805;0.5
Ag38.5 Ca30.8 Mg23 Cu7.7;384;416;854;2
Ag38.5 Mg38.5 Ca15.4 Cu7.7;405;436;842;0.5
Ag46.2 Ca30.7 Mg23.1;399;426;765;0.7
Ag46.2 Mg23.2 Ca23 Cu7.7;398;430;825;2
Ag50 Ca30.8 Mg11.5 Cu7.7;452;487;809;1
Ag53.8 Ca30.5 Mg7.7 Cu7.7;428;488;843;0.3
Ag53.8 Mg15.4 Ca30.8;444;498;812;0.8
Ag53.8 Mg23.1 Ca23.1;451;488;887;0.7
Ag61.5 Mg23.1 Ca15.4;440;485;919;0.5
Au49 Cu26.9 Si16.3 Ag5.5 Pd2.3;401;459;644;5
Au55 Cu25 Si20;348;383;654;0.5
Nd 60 Al15 Ni10 Cu10 Fe5;430;475;779;5
Ca40 Mg30 Cu30;395;430;694;0.5
Ca45 Cu36 Mg19;399;428;714;0.5
Ca47 Cu27 Mg19 Zn7;393;440;676;6
Ca50 Cu25 Mg15 Zn10;395;434;678;10
Ca50 Cu25 Zn15 Mg10;395;427;702;2
Ca50 Cu22.5 Al5 Mg22.5;416;456;762;3.5
Ca50 Cu30 Mg20;401;442;690;8
Ca50 Mg25 Zn15 Cu10;383;430;723;8
Ca53 Cu24 Mg23;406;439;655;7
Ca55 Cu25 Mg20;399;426;720;2
Ca55 Cu35 Mg10;397;422;770;0.5
Ca55 Mg25 Zn20;375;418;751;1
Ca55 Mg18 Al20 Zn7;449;491;822;1
Ca55 Mg20 Al10 Zn15;403;469;773;3.5
Ca55 Zn27 Mg18;389;419;671;0.5
Ca58 Cu24 Mg18;388;426;667;6
Ca60 Mg20 Cu20;387;412;678;4
Ca60 Mg25 Cu15;390;416;676;2
Ca60 Zn22.5 Mg17.5;383;421;650;10
Ca60 Al10 Mg15Cu15;397;430;689;2
Ca60 Zn30 Mg10;380;400;666;0.5
Ca60 Mg15 Al10 Zn15;403;474;703;4
Ca60 Mg20 Al10 Cu10;408;442;817;2
Ca60 Mg18 Al15 Zn7;431;485;748;2.5
Ca35 Mg25 Cu40;386;429;748;3.5
Ca63 Al32 Cu5;512;523;831;2
Ca65 Cu25 Mg10;388;420;711;2
Ca65 Mg20 Cu15;386;405;679;2
Ca65 Mg25 Cu10;405;429;691;0.5
Ca65 Zn20 Mg15;377;410;630;6
Ca66.4 Al33.6;528;540;873;1
Ca70 Mg15 Zn15;371;397;688;0.5
Ce70 Ga4 Cu26;350;395;703;3
Ce70 Ga6 Cu24;352;399;701;10
Ce70 Ga13 Cu17;381;419;681;3
Ce70 Ga15 Cu15;389;417;666;2
Ce70 Ga8 Cu22;359;419;693;10
Ce60 Al10 Ni10 Cu20;374;441;672;1
Ce60 Al15 Ni15 Cu10;390;468;685;3
Ce57 Al10 Ni12.5 Cu15.5 Nb5;369;415;677;2
Ca70 Zn20 Mg10;367;399;657;0.5
(Ce70 La30)65 Co25 Al10;416;436;778;9
Co43 B31.5 Fe20 Ta5.5;910;982;1526;2
Co50 Cr15 C15 Mo14 B6;819;895;1417;2
[(Co70 Fe30) 75 B20 Si5]96 Nb4;820;860;1430;3.5
[(Co90 Fe10)75 B20 Si5]96 Nb4;803;843;1457;2
Cu35 Zr30 Ag25 Ti10;677;706;1138;2
Cu36.4 Ca36.4 Mg27.2;383;412;706;8
Cu36.4 Mg36.4 Ca27.2;382;400;750;5
Cu40 Ca35 Mg25;386;429;748;3.5
Cu40 Zr40 Ag10 Al10;710;765;1273;3
Cu40.9 Ca36.4 Mg22.7;396;432;719;5
Cu40.9 Mg31.8 Ca27.3;392;414;785;3
Cu42.5 Ti41.5 Ni7.5 Hf5 Zr2.5 Si1;685;720;1206;2
Cu42 Zr42 Al8 Ag8;710;762;1234;12
Cu43 Zr4 3Ag7 In7;704;748;1135;5
Cu43 Zr43 Al7 Ag7;710;797;1125;8
Cu44 Zr40 Al8 Ag8;702;772;1166;15
Cu44 Zr44 Ag6 Al6;698;790;1144;10
Cu45 Zr15 Ag10 Hf30;712;799;1275;2
Cu45 Zr30 Ag10 Ti10 Ni5;710;738;1160;5
Cu45 Zr35 Ag10 Hf10;690;769;1171;4
Cu45 Zr 45 Ag3 Al7;708;786;1177;8
Cu45 Zr45 Ag7 Al3;688;768;1151;7
Cu45.5 Ca36.4 Mg18.1;397;426;735;3
Cu45.5 Mg31.8 Ca22.7;389;410;843;1.3
Cu46 Zr37 Al7 Y10;665;743;1118;4
Cu46 Zr45 Al7 Y2;693;770;1143;8
Cu46 Zr54;696;746;1201;2
Cu46 Zr37 Al7 Y10;665;743;1118;4
Cu46.4 Zr35 Ag11.6 Ti7;689;732;1119;6
Cu47 Ti33 Nb11 Ni8 Si1;710;732;1265;0.5
Cu47 Ti33 Zr11 Ni6 Sn2 Si1;720;765;1140;6
Cu47 Ti33 Ni8 Nb6 Zr5 Si1;712;739;1187;2
Cu47 Ti33 Zr9 Ni8 Nb2 Si1;728;762;1159;5
Cu47 Zr43 Al7 Ag3;716;795;1156;5
Cu48 Zr48 Ag4;681;743;1199;3
Cu49 Hf42 Al9;778;863;1249;10
Cu50 Ca27.3 Mg22.7;392;410;864;1.5
Cu50 Zr30 Ag10 Ti10;694;726;1130;4
(Cu50 Zr42.5 Ti7.5) 98.8 Sn0.6 Si0.6;682;734;1141;7
(Cu50 Zr42.5 Ti7.5) 99 Sn1;683;730;1140;6
(Cu50Zr43Al7)98 Si2;740;800;1256;3
(Cu50 Zr43 Al7) 99 Si1;720;797;1226;12
Cu50 Hf42.5 Al7.5;781;836;1240;3
Cu52.5 Hf40 Al7.5;779;833;1250;3
Cu52.5 Zr42.5 Ga5;733;777;1187;2
Cu54 Zr36 Ag10;719;759;1146;6
Cu54.5 Mg27.3 Ca18.2;402;419;921;0.5
Cu55 Zr30 Ti10 Ni5;717;750;1204;2
Cu55 Zr42.5 Ga2.5;709;762;1199;1
Cu57 Zr36 Ag7;712;755;1156;4
Cu57.5 Zr40 Ga2.5;723;776;1198;1.5
Cu60 Hf25 Ti15;730;790;1177;4
(Cu60 Hf25 Ti15)94 Nb6;745;785;1190;4
(Cu60 Hf25 Ti15)98 Nb2;746;792;1184;4
Cu60 Zr30 Ti10;713;750;1151;4
(Cu60 Zr30 Ti10)98 Y2;707;757;1122;5
Cu60 Zr33 Ti7;740;768;1191;3
Fe25 Co25 Ni25 (P30 B30 C20 Si20)25;719;752;1257;1
